id,username,question_id,answer_value,timestamp,created_at,updated_at
111782,apple_monkey,U2-L4-Q01,C,1762911269408,2025-11-12 01:34:30.084535+00,2025-12-18 01:21:51.072601+00
111783,apple_monkey,U2-L4-Q02,D,1762911297070,2025-11-12 01:34:57.351454+00,2025-12-18 01:21:50.991454+00
111784,apple_monkey,U2-L4-Q03,A,1762911355883,2025-11-12 01:35:56.452229+00,2025-12-18 01:21:50.912864+00
2504,Apple_Monkey,U1-L10-Q01,D,1759793769807,2025-10-06 23:36:10.547392+00,2025-12-18 01:22:01.797214+00
2506,Apple_Monkey,U1-L10-Q02,A,1759794700231,2025-10-06 23:51:40.845791+00,2025-12-18 01:22:01.719123+00
2507,Apple_Monkey,U1-L10-Q03,A,1759794738368,2025-10-06 23:52:18.781776+00,2025-12-18 01:22:01.650973+00
2505,Apple_Monkey,U1-L10-Q05,B,1759794825371,2025-10-06 23:48:30.143305+00,2025-12-18 01:22:01.570258+00
2510,Apple_Monkey,U1-L10-Q07,C,1759794859874,2025-10-06 23:54:20.404899+00,2025-12-18 01:22:01.495384+00
2511,Apple_Monkey,U1-L10-Q08,A,1759795403206,2025-10-07 00:03:23.850181+00,2025-12-18 01:22:01.416101+00
32,Apple_Monkey,U1-L2-Q01,B,1757684023766,2025-09-30 04:29:06.441912+00,2025-12-18 01:22:03.827631+00
33,Apple_Monkey,U1-L2-Q02,E,1757684040958,2025-09-30 04:29:06.546083+00,2025-12-18 01:22:03.751717+00
34,Apple_Monkey,U1-L2-Q03,B,1757684052880,2025-09-30 04:29:06.65585+00,2025-12-18 01:22:03.675263+00
36,Apple_Monkey,U1-L3-Q01,E,1757684204269,2025-09-30 04:29:06.87334+00,2025-12-18 01:22:03.526526+00
37,Apple_Monkey,U1-L3-Q02,B,1757684212610,2025-09-30 04:29:06.975975+00,2025-12-18 01:22:03.453309+00
35,Apple_Monkey,U1-L3-Q03,E,1757684188382,2025-09-30 04:29:06.765624+00,2025-12-18 01:22:03.596358+00
38,Apple_Monkey,U1-L4-Q01,C,1757814304913,2025-09-30 04:29:07.070418+00,2025-12-18 01:22:03.373074+00
39,Apple_Monkey,U1-L4-Q02,E,1757816164459,2025-09-30 04:29:07.179802+00,2025-12-18 01:22:03.301118+00
40,Apple_Monkey,U1-L4-Q03,A,1757816170979,2025-09-30 04:29:07.291677+00,2025-12-18 01:22:03.238049+00
41,Apple_Monkey,U1-L4-Q04,B,1757816181342,2025-09-30 04:29:07.403399+00,2025-12-18 01:22:03.167216+00
42,Apple_Monkey,U1-L4-Q05,E,1757816187593,2025-09-30 04:29:07.517289+00,2025-12-18 01:22:03.093854+00
43,Apple_Monkey,U1-L4-Q06,D,1757816194295,2025-09-30 04:29:07.63039+00,2025-12-18 01:22:03.024301+00
44,Apple_Monkey,U1-L5-Q01,C,1757816632685,2025-09-30 04:29:07.749679+00,2025-12-18 01:22:02.946825+00
45,Apple_Monkey,U1-L5-Q02,E,1757816638530,2025-09-30 04:29:07.852603+00,2025-12-18 01:22:02.873989+00
46,Apple_Monkey,U1-L5-Q03,D,1757816651849,2025-09-30 04:29:07.965388+00,2025-12-18 01:22:02.787362+00
48,Apple_Monkey,U1-L6-Q01,B,1757897609049,2025-09-30 04:29:08.196597+00,2025-12-18 01:22:02.644976+00
49,Apple_Monkey,U1-L6-Q02,D,1757897697557,2025-09-30 04:29:08.30306+00,2025-12-18 01:22:02.570975+00
47,Apple_Monkey,U1-L6-Q03,D,1757897551515,2025-09-30 04:29:08.08204+00,2025-12-18 01:22:02.715928+00
235,Apple_Monkey,U1-L7-Q01,B,1758809748412,2025-09-30 04:35:14.370281+00,2025-12-18 01:22:02.348509+00
234,Apple_Monkey,U1-L7-Q02,D,1758809739325,2025-09-30 04:35:14.257485+00,2025-12-18 01:22:02.4259+00
233,Apple_Monkey,U1-L7-Q03,B,1758809737018,2025-09-30 04:35:14.135877+00,2025-12-18 01:22:02.498738+00
232,Apple_Monkey,U1-L7-Q04,E,1758810064196,2025-09-30 04:35:13.983836+00,2025-12-18 01:22:02.185619+00
231,Apple_Monkey,U1-L7-Q05,A,1758810056424,2025-09-30 04:35:13.849954+00,2025-12-18 01:22:02.263777+00
